"CurrencyRateID","CurrencyRateDate","FromCurrencyCode","ToCurrencyCode","AverageRate","EndOfDayRate","ModifiedDate"
109,"2001-07-09 00:00:00","USD","CNY",8.2783,8.2786,"2001-07-09 00:00:00"
110,"2001-07-09 00:00:00","USD","DEM",1.8967,1.8971,"2001-07-09 00:00:00"
111,"2001-07-09 00:00:00","USD","EUR",0.9697,0.9706,"2001-07-09 00:00:00"
112,"2001-07-09 00:00:00","USD","FRF",6.3611,6.3613,"2001-07-09 00:00:00"
113,"2001-07-09 00:00:00","USD","GBP",0.6159,0.6163,"2001-07-09 00:00:00"
114,"2001-07-09 00:00:00","USD","JPY",104.47,104.54,"2001-07-09 00:00:00"
115,"2001-07-09 00:00:00","USD","MXN",9.3399,9.3399,"2001-07-09 00:00:00"
116,"2001-07-09 00:00:00","USD","SAR",3.7507,3.7555,"2001-07-09 00:00:00"
117,"2001-07-09 00:00:00","USD","VEB",636.75,636.84,"2001-07-09 00:00:00"
118,"2001-07-10 00:00:00","USD","ARS",1.0,0.9998,"2001-07-10 00:00:00"
119,"2001-07-10 00:00:00","USD","AUD",1.581,1.581,"2001-07-10 00:00:00"
120,"2001-07-10 00:00:00","USD","BRL",1.929,1.9199,"2001-07-10 00:00:00"
121,"2001-07-10 00:00:00","USD","CAD",1.4678,1.4588,"2001-07-10 00:00:00"
122,"2001-07-10 00:00:00","USD","CNY",8.2783,8.2779,"2001-07-10 00:00:00"
123,"2001-07-10 00:00:00","USD","DEM",1.9117,1.9109,"2001-07-10 00:00:00"
124,"2001-07-10 00:00:00","USD","EUR",0.9774,0.977,"2001-07-10 00:00:00"
125,"2001-07-10 00:00:00","USD","FRF",6.4115,6.4109,"2001-07-10 00:00:00"
126,"2001-07-10 00:00:00","USD","GBP",0.6191,0.6189,"2001-07-10 00:00:00"
127,"2001-07-10 00:00:00","USD","JPY",104.56,104.548,"2001-07-10 00:00:00"
128,"2001-07-10 00:00:00","USD","MXN",9.307,9.2989,"2001-07-10 00:00:00"
129,"2001-07-10 00:00:00","USD","SAR",3.7507,3.7502,"2001-07-10 00:00:00"
130,"2001-07-10 00:00:00","USD","VEB",637.25,637.1699,"2001-07-10 00:00:00"
131,"2001-07-11 00:00:00","USD","ARS",1.0,1.0004,"2001-07-11 00:00:00"
132,"2001-07-11 00:00:00","USD","AUD",1.5768,1.5772,"2001-07-11 00:00:00"
133,"2001-07-11 00:00:00","USD","BRL",1.9299,1.931,"2001-07-11 00:00:00"
134,"2001-07-11 00:00:00","USD","CAD",1.4679,1.4738,"2001-07-11 00:00:00"
135,"2001-07-11 00:00:00","USD","CNY",8.237,8.2379,"2001-07-11 00:00:00"
136,"2001-07-11 00:00:00","USD","DEM",1.9192,1.9194,"2001-07-11 00:00:00"
137,"2001-07-11 00:00:00","USD","EUR",0.9812,0.9812,"2001-07-11 00:00:00"
138,"2001-07-11 00:00:00","USD","FRF",6.4366,6.4366,"2001-07-11 00:00:00"
139,"2001-07-11 00:00:00","USD","GBP",0.6202,0.621,"2001-07-11 00:00:00"
140,"2001-07-11 00:00:00","USD","JPY",104.41,104.459,"2001-07-11 00:00:00"
141,"2001-07-11 00:00:00","USD","MXN",9.31,9.3109,"2001-07-11 00:00:00"
142,"2001-07-11 00:00:00","USD","SAR",3.7507,3.7597,"2001-07-11 00:00:00"
143,"2001-07-11 00:00:00","USD","VEB",637.5,637.57,"2001-07-11 00:00:00"
144,"2001-07-12 00:00:00","USD","ARS",1.0,0.9991,"2001-07-12 00:00:00"
145,"2001-07-12 00:00:00","USD","AUD",1.5701,1.5694,"2001-07-12 00:00:00"
146,"2001-07-12 00:00:00","USD","BRL",1.9265,1.9219,"2001-07-12 00:00:00"
147,"2001-07-12 00:00:00","USD","CAD",1.4672,1.4662,"2001-07-12 00:00:00"
148,"2001-07-12 00:00:00","USD","CNY",8.237,8.2369,"2001-07-12 00:00:00"
149,"2001-07-12 00:00:00","USD","DEM",1.9292,1.9287,"2001-07-12 00:00:00"
150,"2001-07-12 00:00:00","USD","EUR",0.9864,0.9859,"2001-07-12 00:00:00"
151,"2001-07-12 00:00:00","USD","FRF",6.4702,6.4695,"2001-07-12 00:00:00"
152,"2001-07-12 00:00:00","USD","GBP",0.6208,0.62,"2001-07-12 00:00:00"
153,"2001-07-12 00:00:00","USD","JPY",103.99,103.909,"2001-07-12 00:00:00"
154,"2001-07-12 00:00:00","USD","MXN",9.3599,9.352,"2001-07-12 00:00:00"
155,"2001-07-12 00:00:00","USD","SAR",3.7505,3.7492,"2001-07-12 00:00:00"
156,"2001-07-12 00:00:00","USD","VEB",637.75,637.75,"2001-07-12 00:00:00"
157,"2001-07-13 00:00:00","USD","ARS",1.0,1.0004,"2001-07-13 00:00:00"
158,"2001-07-13 00:00:00","USD","AUD",1.5686,1.5687,"2001-07-13 00:00:00"
159,"2001-07-13 00:00:00","USD","BRL",1.9239,1.927,"2001-07-13 00:00:00"
160,"2001-07-13 00:00:00","USD","CAD",1.4678,1.4714,"2001-07-13 00:00:00"
161,"2001-07-13 00:00:00","USD","CNY",8.237,8.2373,"2001-07-13 00:00:00"
162,"2001-07-13 00:00:00","USD","DEM",1.9231,1.9236,"2001-07-13 00:00:00"
163,"2001-07-13 00:00:00","USD","EUR",0.9832,0.9834,"2001-07-13 00:00:00"
164,"2001-07-13 00:00:00","USD","FRF",6.4499,6.4505,"2001-07-13 00:00:00"
165,"2001-07-13 00:00:00","USD","GBP",0.6231,0.6232,"2001-07-13 00:00:00"
166,"2001-07-13 00:00:00","USD","JPY",101.85,101.923,"2001-07-13 00:00:00"
167,"2001-07-13 00:00:00","USD","MXN",9.3599,9.3599,"2001-07-13 00:00:00"
168,"2001-07-13 00:00:00","USD","SAR",3.7507,3.7524,"2001-07-13 00:00:00"
169,"2001-07-13 00:00:00","USD","VEB",638.5,638.58,"2001-07-13 00:00:00"
170,"2001-07-14 00:00:00","USD","ARS",1.0,0.9992,"2001-07-14 00:00:00"
171,"2001-07-14 00:00:00","USD","AUD",1.5769,1.5767,"2001-07-14 00:00:00"
172,"2001-07-14 00:00:00","USD","BRL",1.9239,1.9179,"2001-07-14 00:00:00"
173,"2001-07-14 00:00:00","USD","CAD",1.4683,1.4644,"2001-07-14 00:00:00"
174,"2001-07-14 00:00:00","USD","CNY",8.237,8.2367,"2001-07-14 00:00:00"
175,"2001-07-14 00:00:00","USD","DEM",1.9265,1.9262,"2001-07-14 00:00:00"
176,"2001-07-14 00:00:00","USD","EUR",0.9849,0.9844,"2001-07-14 00:00:00"
177,"2001-07-14 00:00:00","USD","FRF",6.4614,6.4607,"2001-07-14 00:00:00"
178,"2001-07-14 00:00:00","USD","GBP",0.6229,0.6227,"2001-07-14 00:00:00"
179,"2001-07-14 00:00:00","USD","JPY",102.55,102.4929,"2001-07-14 00:00:00"
180,"2001-07-14 00:00:00","USD","MXN",9.3599,9.358,"2001-07-14 00:00:00"
181,"2001-07-14 00:00:00","USD","SAR",3.7507,3.7448,"2001-07-14 00:00:00"
182,"2001-07-14 00:00:00","USD","VEB",638.5,638.4199,"2001-07-14 00:00:00"
183,"2001-07-15 00:00:00","USD","ARS",1.0,1.0007,"2001-07-15 00:00:00"
184,"2001-07-15 00:00:00","USD","AUD",1.5708,1.5708,"2001-07-15 00:00:00"
185,"2001-07-15 00:00:00","USD","BRL",1.9239,1.925,"2001-07-15 00:00:00"
186,"2001-07-15 00:00:00","USD","CAD",1.4724,1.4738,"2001-07-15 00:00:00"
187,"2001-07-15 00:00:00","USD","CNY",8.237,8.2375,"2001-07-15 00:00:00"
188,"2001-07-15 00:00:00","USD","DEM",1.9345,1.9353,"2001-07-15 00:00:00"
189,"2001-07-15 00:00:00","USD","EUR",0.989,0.9897,"2001-07-15 00:00:00"
190,"2001-07-15 00:00:00","USD","FRF",6.4882,6.4886,"2001-07-15 00:00:00"
191,"2001-07-15 00:00:00","USD","GBP",0.6238,0.6243,"2001-07-15 00:00:00"
192,"2001-07-15 00:00:00","USD","JPY",102.33,102.394,"2001-07-15 00:00:00"
193,"2001-07-15 00:00:00","USD","MXN",9.3499,9.351,"2001-07-15 00:00:00"
194,"2001-07-15 00:00:00","USD","SAR",3.7505,3.7595,"2001-07-15 00:00:00"
195,"2001-07-15 00:00:00","USD","VEB",638.5,638.5299,"2001-07-15 00:00:00"
196,"2001-07-16 00:00:00","USD","ARS",1.0,0.999,"2001-07-16 00:00:00"
197,"2001-07-16 00:00:00","USD","AUD",1.5741,1.5739,"2001-07-16 00:00:00"
198,"2001-07-16 00:00:00","USD","BRL",1.9239,1.9139,"2001-07-16 00:00:00"
199,"2001-07-16 00:00:00","USD","CAD",1.4742,1.4723,"2001-07-16 00:00:00"
200,"2001-07-16 00:00:00","USD","CNY",8.237,8.2367,"2001-07-16 00:00:00"
201,"2001-07-16 00:00:00","USD","DEM",1.9393,1.9391,"2001-07-16 00:00:00"
202,"2001-07-16 00:00:00","USD","EUR",0.9916,0.9907,"2001-07-16 00:00:00"
203,"2001-07-16 00:00:00","USD","FRF",6.5042,6.5038,"2001-07-16 00:00:00"
204,"2001-07-16 00:00:00","USD","GBP",0.6256,0.6247,"2001-07-16 00:00:00"
205,"2001-07-16 00:00:00","USD","JPY",102.09,102.055,"2001-07-16 00:00:00"
206,"2001-07-16 00:00:00","USD","MXN",9.3499,9.343,"2001-07-16 00:00:00"
207,"2001-07-16 00:00:00","USD","SAR",3.7505,3.7496,"2001-07-16 00:00:00"
208,"2001-07-16 00:00:00","USD","VEB",638.5,638.5,"2001-07-16 00:00:00"
209,"2001-07-17 00:00:00","USD","ARS",1.0,1.0007,"2001-07-17 00:00:00"
210,"2001-07-17 00:00:00","USD","AUD",1.5706,1.5712,"2001-07-17 00:00:00"
211,"2001-07-17 00:00:00","USD","BRL",1.9239,1.933,"2001-07-17 00:00:00"
212,"2001-07-17 00:00:00","USD","CAD",1.4744,1.4755,"2001-07-17 00:00:00"
213,"2001-07-17 00:00:00","USD","CNY",8.237,8.2372,"2001-07-17 00:00:00"
214,"2001-07-17 00:00:00","USD","DEM",1.9378,1.9379,"2001-07-17 00:00:00"
215,"2001-07-17 00:00:00","USD","EUR",0.9908,0.9911,"2001-07-17 00:00:00"
216,"2001-07-17 00:00:00","USD","FRF",6.4991,6.4999,"2001-07-17 00:00:00"
217,"2001-07-17 00:00:00","USD","GBP",0.6252,0.6256,"2001-07-17 00:00:00"
218,"2001-07-17 00:00:00","USD","JPY",102.34,102.406,"2001-07-17 00:00:00"
219,"2001-07-17 00:00:00","USD","MXN",9.3499,9.3499,"2001-07-17 00:00:00"
220,"2001-07-17 00:00:00","USD","SAR",3.7505,3.7545,"2001-07-17 00:00:00"
221,"2001-07-17 00:00:00","USD","VEB",638.5,638.5499,"2001-07-17 00:00:00"
222,"2001-07-18 00:00:00","USD","ARS",1.0,0.9991,"2001-07-18 00:00:00"
223,"2001-07-18 00:00:00","USD","AUD",1.5792,1.5786,"2001-07-18 00:00:00"
224,"2001-07-18 00:00:00","USD","BRL",1.9239,1.9219,"2001-07-18 00:00:00"
225,"2001-07-18 00:00:00","USD","CAD",1.48,1.4702,"2001-07-18 00:00:00"
226,"2001-07-18 00:00:00","USD","CNY",8.237,8.237,"2001-07-18 00:00:00"
227,"2001-07-18 00:00:00","USD","DEM",1.9443,1.9441,"2001-07-18 00:00:00"
228,"2001-07-18 00:00:00","USD","EUR",0.994,0.9939,"2001-07-18 00:00:00"
229,"2001-07-18 00:00:00","USD","FRF",6.521,6.5208,"2001-07-18 00:00:00"
230,"2001-07-18 00:00:00","USD","GBP",0.6254,0.6248,"2001-07-18 00:00:00"
231,"2001-07-18 00:00:00","USD","JPY",102.57,102.542,"2001-07-18 00:00:00"
232,"2001-07-18 00:00:00","USD","MXN",9.3499,9.348,"2001-07-18 00:00:00"
233,"2001-07-18 00:00:00","USD","SAR",3.7505,3.7442,"2001-07-18 00:00:00"
234,"2001-07-18 00:00:00","USD","VEB",638.5,638.48,"2001-07-18 00:00:00"
235,"2001-07-19 00:00:00","USD","ARS",1.0,1.0001,"2001-07-19 00:00:00"
236,"2001-07-19 00:00:00","USD","AUD",1.5823,1.5831,"2001-07-19 00:00:00"
237,"2001-07-19 00:00:00","USD","BRL",1.9239,1.933,"2001-07-19 00:00:00"
238,"2001-07-19 00:00:00","USD","CAD",1.4802,1.4861,"2001-07-19 00:00:00"
239,"2001-07-19 00:00:00","USD","CNY",8.237,8.2378,"2001-07-19 00:00:00"
240,"2001-07-19 00:00:00","USD","DEM",1.9531,1.9531,"2001-07-19 00:00:00"
241,"2001-07-19 00:00:00","USD","EUR",0.9986,0.999,"2001-07-19 00:00:00"
242,"2001-07-19 00:00:00","USD","FRF",6.5503,6.5511,"2001-07-19 00:00:00"
243,"2001-07-19 00:00:00","USD","GBP",0.6248,0.6254,"2001-07-19 00:00:00"
244,"2001-07-19 00:00:00","USD","JPY",102.47,102.477,"2001-07-19 00:00:00"
245,"2001-07-19 00:00:00","USD","MXN",9.3499,9.358,"2001-07-19 00:00:00"
246,"2001-07-19 00:00:00","USD","SAR",3.7505,3.7578,"2001-07-19 00:00:00"
247,"2001-07-19 00:00:00","USD","VEB",638.5,638.5099,"2001-07-19 00:00:00"
248,"2001-07-20 00:00:00","USD","ARS",1.0,0.9993,"2001-07-20 00:00:00"
249,"2001-07-20 00:00:00","USD","AUD",1.5825,1.5822,"2001-07-20 00:00:00"
250,"2001-07-20 00:00:00","USD","BRL",1.9239,1.9179,"2001-07-20 00:00:00"
251,"2001-07-20 00:00:00","USD","CAD",1.4823,1.4817,"2001-07-20 00:00:00"
252,"2001-07-20 00:00:00","USD","CNY",8.237,8.2367,"2001-07-20 00:00:00"
253,"2001-07-20 00:00:00","USD","DEM",1.9519,1.9516,"2001-07-20 00:00:00"
254,"2001-07-20 00:00:00","USD","EUR",0.998,0.9973,"2001-07-20 00:00:00"
255,"2001-07-20 00:00:00","USD","FRF",6.5465,6.5456,"2001-07-20 00:00:00"
256,"2001-07-20 00:00:00","USD","GBP",0.6248,0.6245,"2001-07-20 00:00:00"
257,"2001-07-20 00:00:00","USD","JPY",102.85,102.784,"2001-07-20 00:00:00"
258,"2001-07-20 00:00:00","USD","MXN",9.3499,9.345,"2001-07-20 00:00:00"
259,"2001-07-20 00:00:00","USD","SAR",3.7505,3.7482,"2001-07-20 00:00:00"
260,"2001-07-20 00:00:00","USD","VEB",638.5,638.4299,"2001-07-20 00:00:00"
261,"2001-07-21 00:00:00","USD","ARS",1.0,1.0004,"2001-07-21 00:00:00"
262,"2001-07-21 00:00:00","USD","AUD",1.5808,1.5817,"2001-07-21 00:00:00"
263,"2001-07-21 00:00:00","USD","BRL",1.9239,1.9279,"2001-07-21 00:00:00"
264,"2001-07-21 00:00:00","USD","CAD",1.4795,1.4872,"2001-07-21 00:00:00"
265,"2001-07-21 00:00:00","USD","CNY",8.237,8.237,"2001-07-21 00:00:00"
266,"2001-07-21 00:00:00","USD","DEM",1.951,1.9511,"2001-07-21 00:00:00"
267,"2001-07-21 00:00:00","USD","EUR",0.9975,0.9977,"2001-07-21 00:00:00"
268,"2001-07-21 00:00:00","USD","FRF",6.5431,6.5434,"2001-07-21 00:00:00"
269,"2001-07-21 00:00:00","USD","GBP",0.6245,0.6251,"2001-07-21 00:00:00"
270,"2001-07-21 00:00:00","USD","JPY",102.705,102.803,"2001-07-21 00:00:00"
271,"2001-07-21 00:00:00","USD","MXN",9.3499,9.352,"2001-07-21 00:00:00"
272,"2001-07-21 00:00:00","USD","SAR",3.7505,3.753,"2001-07-21 00:00:00"
273,"2001-07-21 00:00:00","USD","VEB",638.5,638.5499,"2001-07-21 00:00:00"
274,"2001-07-22 00:00:00","USD","ARS",1.0,0.9995,"2001-07-22 00:00:00"
275,"2001-07-22 00:00:00","USD","AUD",1.58,1.579,"2001-07-22 00:00:00"
276,"2001-07-22 00:00:00","USD","BRL",1.9239,1.9179,"2001-07-22 00:00:00"
277,"2001-07-22 00:00:00","USD","CAD",1.4799,1.4701,"2001-07-22 00:00:00"
278,"2001-07-22 00:00:00","USD","CNY",8.237,8.237,"2001-07-22 00:00:00"
279,"2001-07-22 00:00:00","USD","DEM",1.9271,1.9266,"2001-07-22 00:00:00"
280,"2001-07-22 00:00:00","USD","EUR",0.9852,0.9848,"2001-07-22 00:00:00"
281,"2001-07-22 00:00:00","USD","FRF",6.4633,6.4631,"2001-07-22 00:00:00"
282,"2001-07-22 00:00:00","USD","GBP",0.6211,0.6201,"2001-07-22 00:00:00"
283,"2001-07-22 00:00:00","USD","JPY",102.43,102.398,"2001-07-22 00:00:00"
284,"2001-07-22 00:00:00","USD","MXN",9.3499,9.3439,"2001-07-22 00:00:00"
285,"2001-07-22 00:00:00","USD","SAR",3.7505,3.7503,"2001-07-22 00:00:00"
286,"2001-07-22 00:00:00","USD","VEB",638.5,638.46,"2001-07-22 00:00:00"
287,"2001-07-23 00:00:00","USD","ARS",1.0,1.0004,"2001-07-23 00:00:00"
288,"2001-07-23 00:00:00","USD","AUD",1.5736,1.5739,"2001-07-23 00:00:00"
289,"2001-07-23 00:00:00","USD","BRL",1.9239,1.927,"2001-07-23 00:00:00"
290,"2001-07-23 00:00:00","USD","CAD",1.475,1.4793,"2001-07-23 00:00:00"
291,"2001-07-23 00:00:00","USD","CNY",8.237,8.2373,"2001-07-23 00:00:00"
292,"2001-07-23 00:00:00","USD","DEM",1.9128,1.9135,"2001-07-23 00:00:00"
